NAME,TYPE,LOCATION,RESOURCE LINK
"subnet-pe-webapp","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/privateEndpoints/subnet-pe-webapp"
"subnet-pe-webapp.nic.b98a7443-55ba-45bb-bb2a-7f42625adbce","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/networkInterfaces/subnet-pe-webapp.nic.b98a7443-55ba-45bb-bb2a-7f42625adbce"
"vm-test-s04","Virtual machine","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Compute/virtualMachines/vm-test-s04"
"vm-test-s04-ip-b11d622a","Public IP address","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/publicIPAddresses/vm-test-s04-ip-b11d622a"
"vm-test-s04-nsg","Network security group","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/networkSecurityGroups/vm-test-s04-nsg"
"vm-test-s04779-b11d622a","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/networkInterfaces/vm-test-s04779-b11d622a"
"vm-test-s04_OsDisk_1_57c0d31a04434403b417ce272bc0fc08","Disk","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/RG-S04-ZERO-TRUST/providers/Microsoft.Compute/disks/vm-test-s04_OsDisk_1_57c0d31a04434403b417ce272bc0fc08"
"vnet-hub-s04","Virtual network","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/virtualNetworks/vnet-hub-s04"
"vnet-spoke-s04","Virtual network","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/virtualNetworks/vnet-spoke-s04"
"vnet-spoke-s04-bastion","Bastion","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/bastionHosts/vnet-spoke-s04-bastion"
"webapp-s04","App Service","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Web/sites/webapp-s04"
